"The basis of the cladogram is that "" Aglaophyton "" has more developed conducting tissue than the Horneophytopsida , but does not have true vascular tissue ."	cladogram	It is a rare orchid with a single bluish green , heart-shaped leaf and a small flower with an enlarged dorsal sepal and tube-shaped labellum .	flower	0
In early July , there are common sorrel , the purple glass Yorkshire fog , southern marsh orchids , yellow rattle and valerian .	valerian	It is a rare orchid with a single bluish green , heart-shaped leaf and a small flower with an enlarged dorsal sepal and tube-shaped labellum .	flower	1
The director , cinematographer and biologist Joel Heath spent seven years on the project , writing biological articles on the eider .	eider	List of birds of Poland This is a list of the bird species recorded in Poland .	bird	1
Sweet cherry was known historically as gean or mazzard ( also ' massard ' ) , until recently , both were largely obsolete names in modern English .	gean	Chuquiraga jussieui Chuquiraga jussieui , the flower of the Andes , is a species of flowering plant in the Asteraceae family .	flower	0
Maxillaria tenuifolia Maxillaria tenuifolia , the delicate-leafed maxillaria or coconut pie orchid , is a species of orchid ranging from Mexico to Nicaragua and possibly Costa Rica .	maxillaria	An embedded planar graph can be built from a blossom tree by connecting each opening stem to a closing stem .	tree	0
It occurs in a number of blossoms ( e. g. tuberose , hyacinth ) and is a component of Balsam of Peru and Tolu balsam .	tuberose	cloacae strain PR-4 isolated and identified by 16S rDNA gene sequence with Phylogenetic tree view , from explosive laden soil .	tree	0
The gorge itself is filled with native bush , including kowhai , kanuka , and other species .	kowhai	In the wild , up to 4 juveniles have reportedly been found in one tree hole .	tree	1
Also , the barred owl , eastern towhee , yellow-shafted flicker , brown thrasher , and eastern wood pewee can be seen here .	pewee	As other fish , groupers harbour parasites , including digeneans , nematodes , cestodes , monogeneans , isopods , and copepods .	fish	0
""" Aerodramus sawtelli "" , the Atiu swiftlet , and "" Aerodramus maximus "" , the black-nest swiftlet are the only known species which emit single clicks ."	swiftlet	The consumption of imported meat , particularly mutton flaps , has replaced the islanders ' traditional diet of fish , root vegetables and coconuts .	fish	0
Asprocottus minor Asprocottus minor is a deepwater sculpin .	sculpin	As a result , overwintering performance of the insect should be viewed in the context of parental fitness .	insect	0
The pool is next to the stingray touch pool Near the Gulf of Mexico exhibit is a Green moray eel tank and a Caribbean ocellated moray eel tank .	moray	Immune organs vary by type of fish .	fish	1
When in use , the mouthparts may be directed forwards , but this is only caused when the sawfly swings its entire head forward in a pendulum motion .	sawfly	From 1970 he collected insects for the Australian National Insect Collection .	insect	1
Where the weka is relatively common , their furtive curiosity leads them to search around houses and camps for food scraps , or anything unfamiliar and transportable .	weka	Coral reef fish are characterized by high biodiversity .	fish	0
The remora benefits the host by feeding in part on some of its parasites , but increases its hydrodynamical drag .	remora	"Tarnished plant bug The tarnished plant bug ( TPB ) , "" Lygus lineolaris "" , is a species of plant-feeding insect in the family Miridae ."	insect	0
Caladenia atrata Caladenia atrata , commonly known as dark caladenia is a plant in the orchid family Orchidaceae and is endemic to Tasmania .	caladenia	It is susceptible to aphid infestations which result in flower and rosette deformities .	flower	1
Lantana achyranthifolia Lantana achyranthifolia , the brushland shrubverbena , is a perennial woody shrub , and a member of the verbena ( Verbenaceae ) family .	verbena	The flower spikes age to grey and swell with the development of the woody follicles .	flower	1
The company introduced the zinnia , the first truly white potato and the tomato to the United States .	zinnia	Three alien robots , Rivet , Widgit and Socket , accidentally crashed their spaceship on a backyard tree in Earth .	tree	0
It was constructed of local timber with roofing of hand split totara shingles and measured 40 feet by 20 feet .	totara	Each flower is almost a centimeter wide and has hairy pointed sepals and smaller rounded to spoon-shaped yellow petals .	flower	0
They also support waterfowl such as garganey and shoveller .	garganey	There are eight different enemy insects — a different insect is introduced on each of the first eight levels .	insect	0
"Also the "" F "" marlin sleeve patch would no longer be on the jersey ."	marlin	Australia is unique in having a freshwater fish fauna dominated by percichthyids and allied families/species .	fish	1
Dendrobium thyrsiflorum Dendrobium thyrsiflorum is a species of orchid , commonly called the pinecone-like raceme dendrobium .	dendrobium	Each flower is just under a centimeter long with a greenish throat and a striped pink face .	flower	1
flowering mangrove is upstream of Karetoto Island .	mangrove	Each flower head has about 20 blue or purple ( rarely white ) ray flowers but no disc flowers .	flower	0
It is very similar to the blue-banded toucanet , from which it differs mainly in the bill pattern .	toucanet	Both groups are medium to large coastal seabirds that plunge-dive for fish .	fish	0
The longest recorded Jumping halfbeak was 35 cm long , but most of them are 13 cm long commonly .	halfbeak	Avifauna is extensive , with around 300 bird species been recorded since the 19th century .	bird	0
Oncidium leucochilum Oncidium leucochilum ( or white-lipped oncidium ) is an epiphytic species of orchid occurring from southeastern Mexico to Honduras .	oncidium	"In 1945 , to celebrate the liberation and return of the Republic , a lime tree was planted as a "" tree of liberty "" ."	tree	0
This chachalaca is a disperser of small seeds of some Melastomataceae , thus facilitating the regeneration of some plant species in areas where it lives .	chachalaca	A typical shrike 's beak is hooked , like a bird of prey .	bird	1
Delphinium hansenii Delphinium hansenii is a species of larkspur known by the common names Eldorado larkspur and Hansen 's delphinium .	delphinium	Leigh and Jason then go searching for her cat , only to discover Matt has committed suicide by hanging himself from a tree in the woods .	tree	0
Richmond wears a Remembrance poppy which commemorates soldiers who died fighting for the United Kingdom and British Empire .	poppy	If the map is not rooted in a corner , constructing the blossom tree takes quadratic time .	tree	0
"The common yellowthroat 's song is a loud "" twichety twichety twichety twich "" ."	yellowthroat	The Cat falls down , and the bowl floods the entire convention , and everyone ( except the Cat and Clark ) end up inside the fish .	fish	0
In this area of rolling prairies , sandstone outcrops and ponderosa pines , there are plentiful numbers of whitetail deer and mule deer , many of trophy quality .	ponderosa	It was set into the raised natural stone surface of a large , raised , circular flower bed .	flower	0
Compared to the greater yellowlegs , the bill is shorter ( visually about the same length as the head ) , slim , straight , and uniformly dark .	yellowlegs	List of birds of Andorra This is a list of the bird species recorded in Andorra .	bird	1
A protein intake of 5 % deemed too low as it delayed mating and an extreme of 65 % protein directly killed the cockroach .	cockroach	For the wealthy , the dye used was kermes , made from a tiny scale insect which fed on the branches and leaves of the oak tree .	insect	1
Species that can be caught include largemouth bass , smallmouth bass , black crappie , bluegill , pumpkinseed , and yellow perch .	pumpkinseed	Parasitic infections from freshwater fish are a serious problem in some parts of the world , particularly Southeast Asia .	fish	1
It is sited above the ground in the crown of a dead palm or in a hole in a baobab .	baobab	The tree 's protectors arrived ( with Zak controlling them ) and he accidentally dropped a bottle that had the sap in it .	tree	1
Vanda roeblingiana Vanda roeblingiana , Roebelen 's vanda , is a species of orchid endemic to the mountain provinces of the island of Luzon in the Philippines .	vanda	It was set into the raised natural stone surface of a large , raised , circular flower bed .	flower	1
Later that year its name was changed to Valur , which is an Icelandic word for gyrfalcon .	gyrfalcon	There are a number of bird species in this roadside loch , including resident ones such as the greylag goose .	bird	1
Baetis tricaudatus Baetis tricaudatus is a species of small minnow mayfly in the family Baetidae .	minnow	The city is mentioned in the Guinness Book of World Records for preparing the largest seafood-filled fish in the world .	fish	1
Habitat is lowland mixed dipterocarp forests .	dipterocarp	He climbs the tree ; as he does , at the back of the stage , a valley appears ; the sky is studded with stars .	tree	1
The seeds are very numerous and are separated by scales , and when ripe , the whole catkin disintegrates and the seeds are spread widely by the wind .	catkin	cloacae strain PR-4 isolated and identified by 16S rDNA gene sequence with Phylogenetic tree view , from explosive laden soil .	tree	0
During the short winter days the western capercaillie feeds almost constantly and produces a pellet nearly every 10 minutes .	capercaillie	Order : PasseriformesFamily : Oxyruncidae The sharpbill is a small bird of dense forests in Central and South America .	bird	1
The pumpkinseed ’s natural range in North America is from New Brunswick down the east coast to South Carolina .	pumpkinseed	Order : PasseriformesFamily : Prunellidae The accentors are in the only bird family , Prunellidae , which is completely endemic to the Palearctic .	bird	0
